CID_senyawa,Protein
37542,NPH2_MCV1
37542,RDRP_I56A0
4725,DPOL_HHV11
4725,KITH_HHV11
4725,KITH_HHV1C
3117,AL1A1_HUMAN
3117,ALDH2_HUMAN
3117,AMD_HUMAN
3117,CP1A2_HUMAN
3117,CP2A6_HUMAN
3117,CP2B6_HUMAN
3117,CP2C8_HUMAN
3117,CP2C9_HUMAN
3117,CP2D6_HUMAN
3117,CP2E1_HUMAN
3117,CP3A4_HUMAN
3117,CP3A5_HUMAN
3117,DOPO_HUMAN
3117,AMD_HUMAN
3117,Q13749_HUMAN
3117,Q16868_HUMAN
3117,Q3YA63_HUMAN
3117,Q4LBD0_HUMAN
3117,Q59EJ0_HUMAN
3117,Q5SYQ7_HUMAN
3117,Q5SYQ8_HUMAN
3117,Q5SYQ9_HUMAN
3117,AL1A1_HUMAN
3117,Q6NWT7_HUMAN
3117,CP2E1_HUMAN
3117,Q7KYY0_HUMAN
3117,TRPA1_HUMAN
92727,CP1A2_HUMAN
92727,CP2B6_HUMAN
92727,CP2C9_HUMAN
92727,CP2CJ_HUMAN
92727,CP2D6_HUMAN
92727,CP3A4_HUMAN
92727,MDR1_HUMAN
92727,O90777_9PLVG
92727,POL_HV1B1
92727,Q9QM22_9HIV1
92727,TFPI1_HUMAN
392622,CP1A2_HUMAN
392622,CP2B6_HUMAN
392622,CP2C8_HUMAN
392622,CP2C9_HUMAN
392622,CP2CJ_HUMAN
392622,CP2D6_HUMAN
392622,CP2E1_HUMAN
392622,CP3A4_HUMAN
392622,CP3A5_HUMAN
392622,CP3A7_HUMAN
392622,CP7A1_HUMAN
392622,MDR1_HUMAN
392622,O90777_9PLVG
392622,POL_HV1H2
213039,MDR1_HUMAN
213039,O90777_9PLVG
213039,POL_HV1B1
4413,C1R_HUMAN
4413,C1S_HUMAN
4413,CATD_HUMAN
4413,FA10_HUMAN
4413,MMP13_HUMAN
4413,PLMN_HUMAN
4413,THRB_HUMAN
4413,TRY1_HUMAN
445154,ABL1_HUMAN
445154,AKT1_HUMAN
445154,CAH12_HUMAN
445154,CAH1_HUMAN
445154,CAH2_HUMAN
445154,CAH4_HUMAN
445154,CAH9_HUMAN
445154,CDK4_HUMAN
445154,CP1A1_HUMAN
445154,CP1A2_HUMAN
445154,CP1B1_HUMAN
445154,CSK21_HUMAN
445154,DCOR_HUMAN
445154,ESR1_HUMAN
445154,JUN_HUMAN
445154,LCK_HUMAN
445154,LKHA4_HUMAN
445154,MK01_HUMAN
445154,NQO2_HUMAN
445154,PGH1_HUMAN
445154,PGH2_HUMAN
445154,PK3C3_HUMAN
445154,PTN1_HUMAN
445154,Q1HBJ4_HUMAN
445154,Q3YA63_HUMAN
445154,Q499G7_HUMAN
445154,Q9Y354_HUMAN
445154,TTHY_HUMAN
60750,DCK_HUMAN
60750,KCY_HUMAN
60750,KITM_HUMAN
60750,Q6I8R3_HUMAN
60750,Q8IZR3_HUMAN
60750,RIR1_HUMAN
60750,TYSY_HUMAN
2165,CP1A1_HUMAN
2165,CP1A2_HUMAN
2165,CP1B1_HUMAN
2165,CP2C8_HUMAN
2165,CP2C9_HUMAN
2165,CP2CJ_HUMAN
2165,CP2D6_HUMAN
2165,CP3A4_HUMAN
2165,HBA_HUMAN
2165,HNMT_HUMAN
2165,KCNH2_HUMAN
4046,CP19A_HUMAN
4046,CP2D6_HUMAN
4046,CP3A4_HUMAN
4046,HBA_HUMAN
3955,CAC1A_HUMAN
3955,COLI_HUMAN
3955,CP2B6_HUMAN
3955,CP2C8_HUMAN
3955,CP2D6_HUMAN
3955,CP3A4_HUMAN
3955,NMDE1_HUMAN
3955,NMDE2_HUMAN
3955,NMDE3_HUMAN
3955,NMDE4_HUMAN
3955,OPRD_HUMAN
3955,OPRM_HUMAN
3955,OPRX_HUMAN
65028,NEUR1_HUMAN
65028,NEUR2_HUMAN
65028,NEUR3_HUMAN
65028,NEUR4_HUMAN
65028,NRAM_I83A1
65028,NRAM_INBLE
44447656,ACE2_HUMAN
5291,AAPK1_HUMAN
5291,AAPK2_HUMAN
5291,ABCG2_HUMAN
5291,ABL1_HUMAN
5291,ABL2_HUMAN
5291,ABL_MLVAB
5291,ACK1_HUMAN
5291,ACV1B_HUMAN
5291,ACVL1_HUMAN
5291,ACVR1_HUMAN
5291,AKT1_HUMAN
5291,ALBU_HUMAN
5291,BCR_HUMAN
5291,BTK_HUMAN
5291,CAH12_HUMAN
5291,CAH1_HUMAN
5291,CAH2_HUMAN
5291,CAH4_HUMAN
5291,CAH9_HUMAN
5291,CDK2_HUMAN
5291,CDK5_HUMAN
5291,CDK7_HUMAN
5291,CDK8_HUMAN
5291,CDK9_HUMAN
5291,CLK1_HUMAN
5291,CP1A2_HUMAN
5291,CP2C8_HUMAN
5291,CP2C9_HUMAN
5291,CP2CJ_HUMAN
5291,CP2D6_HUMAN
5291,CP3A4_HUMAN
5291,CP3A5_HUMAN
5291,CP3A7_HUMAN
5291,CSF1R_HUMAN
5291,CSK21_HUMAN
5291,CSK_HUMAN
5291,DAPK1_HUMAN
5291,DDR1_HUMAN
5291,EGFR_HUMAN
5291,EPHA2_HUMAN
5291,EPHB1_HUMAN
5291,ERBB2_HUMAN
5291,ETV6_HUMAN
5291,FAK1_HUMAN
5291,FAK2_HUMAN
5291,FGFR1_HUMAN
5291,FGFR2_HUMAN
5291,FGFR3_HUMAN
5291,FGFR4_HUMAN
5291,FLT3_HUMAN
5291,FYN_HUMAN
5291,GSK3A_HUMAN
5291,GSK3B_HUMAN
